Source,Destination,Number of Tweets
NG,EG,1097.0
KE,KW,40.0
PK,AU,889.0
CA,MC,145.0
EG,AE,190.0
IT,AT,317.0
KE,GH,542.0
GB,AR,1472.0
BM,CA,71.0
US,SV,1292.0
TH,DE,470.0
ES,PY,357.0
DK,HK,1558.0
NP,SG,7.0
IN,DJ,191.0
SE,ES,376.0
CO,GR,142.0
AE,IN,1629.0
CO,IT,3537.0
CO,PT,135.0
IT,MY,191.0
NO,MC,11.0
PL,CA,1059.0
TH,IN,1034.0
DE,NO,1051.0
US,TN,1797.0
CO,SE,562.0
KR,CA,2108.0
NG,GH,2562.0
ID,PK,265.0
EG,CN,79.0
GB,BN,519.0
TR,IT,1299.0
NL,MY,137.0
FR,BR,1300.0
CH,PL,824.0
PA,SE,96.0
IL,SE,1767.0
CO,PY,605.0
CH,ZW,66.0
CU,PA,386.0
DE,LI,652.0
EC,IN,110.0
VE,AU,143.0
TW,DE,155.0
US,SY,469.0
AR,GB,414.0
LB,NG,108.0
BE,AT,1634.0
EG,PL,52.0
FR,CH,1036.0
PL,NO,145.0
JP,TH,1168.0
KH,CN,23.0
JP,ES,310.0
DK,JP,116.0
MY,NZ,199.0
TH,AU,1060.0
SN,GH,3.0
CH,TH,293.0
RU,EC,39.0
IN,IE,887.0
HK,NL,1382.0
US,GG,229.0
VE,GB,542.0
US,CD,1420.0
HK,IE,294.0
PG,AU,1018.0
BR,IT,539.0
DK,MY,61.0
ZA,MC,98.0
MX,FR,718.0
PK,ES,152.0
CO,MN,34.0
MC,DE,1110.0
CA,IE,758.0
TW,JP,1234.0
US,CR,2014.0
TH,HK,866.0
SK,US,322.0
NL,SA,92.0
CO,HN,21.0
CA,SA,507.0
AU,TW,602.0
JO,US,436.0
FR,JP,672.0
US,GT,108.0
GB,ZM,351.0
IN,LK,105.0
FI,CH,32.0
CG,ZW,197.0
TH,IT,308.0
GB,UM,846.0
CN,IT,1222.0
RU,IT,693.0
IN,UG,233.0
DM,IN,635.0
IN,RU,1343.0
KR,SK,122.0
LB,SE,188.0
CN,SE,622.0
QA,US,259.0
NZ,CA,701.0
PA,DO,57.0
ID,JP,1324.0
SI,CA,195.0
SE,NO,504.0
US,KY,431.0
NG,GQ,453.0
IN,EG,864.0
KE,IN,2221.0
HK,SG,534.0
CA,AQ,28.0
ZW,ID,361.0
CN,ES,2032.0
HK,GR,294.0
ID,NL,2491.0
SE,FI,240.0
HK,PT,102.0
CA,PA,316.0
ZA,MZ,589.0
PL,TT,1.0
CN,CO,2985.0
US,BT,24.0
BJ,FR,74.0
ID,CA,818.0
AU,CL,280.0
PL,BR,634.0
SG,DE,335.0
MX,UG,89.0
HK,KE,819.0
TZ,US,705.0
RU,IN,2849.0
AU,SN,168.0
SE,BE,111.0
PS,AU,190.0
SG,IN,278.0
PA,ID,220.0
BR,DE,501.0
NO,NL,347.0
CN,BR,985.0
CD,AU,103.0
NP,UG,24.0
KE,CH,465.0
NG,ZW,289.0
US,LS,187.0
CZ,ID,397.0
ZA,AU,2333.0
CH,PT,220.0
RU,GB,1295.0
NO,CO,316.0
US,PF,455.0
NL,SR,47.0
SG,JP,766.0
LS,ZA,175.0
RO,GB,441.0
IN,SE,2298.0
RU,VE,279.0
SE,VE,65.0
ID,SA,718.0
PT,ZA,89.0
VN,IN,232.0
MC,NL,725.0
MV,GB,208.0
MC,US,1430.0
US,SR,339.0
JP,MY,1368.0
CH,NL,1917.0
CA,TN,79.0
PR,TH,4.0
BE,KG,5.0
BD,CO,31.0
IE,CA,616.0
FR,AR,276.0
LB,IN,798.0
HK,CN,3087.0
TR,AT,411.0
GB,PE,488.0
ZW,MY,2309.0
AG,US,918.0
HK,PK,557.0
FR,DE,1030.0
IL,VN,20.0
DO,US,3143.0
NL,PL,300.0
KW,GB,200.0
MY,AU,1220.0
CA,AZ,8.0
CU,GM,540.0
DE,ID,1650.0
IT,NO,175.0
IT,BR,460.0
BE,TR,517.0
NA,US,688.0
DK,TW,131.0
VE,PA,430.0
JP,VE,34.0
AU,KE,1055.0
NO,ZA,145.0
JP,ZA,347.0
PG,TR,54.0
US,HT,973.0
GB,CZ,325.0
MZ,IN,37.0
CU,PY,21.0
DJ,SA,7.0
PH,GB,887.0
IN,MX,1671.0
PL,BE,434.0
US,MU,2260.0
TH,CN,727.0
AU,WS,18.0
CN,NG,2720.0
LB,SA,473.0
