i,j,count,vi,vj,cij
'AU','MX',401,119320.0,55562.0,0.002292974691506273
'ZA','NG',400,80877.0,70751.0,0.0026380351913894533
'TH','AU',398,18117.0,119320.0,0.0028958722905767734
'EG','US',397,5224.0,1617816.0,0.00024460272082018925
'GB','DK',396,714016.0,6051.0,0.0005499488242066363
'CH','FR',395,24498.0,33733.0,0.006783328467654686
'CN','MY',393,18011.0,45204.0,0.006216878905323103
'NG','DE',388,70751.0,86225.0,0.002471715421465702
'BE','AU',385,16868.0,119320.0,0.0028269744764590123
'CG','KE',384,2139.0,30837.0,0.011644832605531296
'AT','CH',382,12430.0,24498.0,0.010344454072790294
'KE','IN',380,30837.0,259796.0,0.0013074908905733348
'IN','IT',380,259796.0,48194.0,0.0012338062924120913
'IT','CH',378,48194.0,24498.0,0.005200022010675177
'SE','GB',374,14655.0,714016.0,0.0005132631873643936
'NG','ZA',373,70751.0,80877.0,0.002459967815970665
'KR','PH',370,24753.0,18017.0,0.008650923544540565
'JP','CA',369,40643.0,259814.0,0.0012281291499282759
'CN','MX',367,18011.0,55562.0,0.00498824296956764
'FR','CA',358,33733.0,259814.0,0.0012195662023457912
'GB','HR',357,714016.0,1582.0,0.000498883451323229
'CA','ID',352,259814.0,36044.0,0.001189759952409602
'CO','DE',351,53611.0,86225.0,0.0025100832403672875
'US','EC',351,1617816.0,1956.0,0.0002166971647861551
'KE','GB',349,30837.0,714016.0,0.0004685488277552752
'CO','IT',348,53611.0,48194.0,0.0034182996905849417
'PT','GB',347,7427.0,714016.0,0.000480980479400313
'SE','ZA',347,14655.0,80877.0,0.0036322907507432066
'KR','HK',344,24753.0,78856.0,0.003320174888281906
'CN','VE',344,18011.0,13215.0,0.011016460641772882
'HK','BR',343,78856.0,18534.0,0.0035219221686004724
'IL','DE',343,9907.0,86225.0,0.0035680106520201388
'US','HU',343,1617816.0,915.0,0.00021189437899193876
'AU','PH',340,119320.0,18017.0,0.0024756620575664243
'CH','IT',339,24498.0,48194.0,0.004663511803224564
'CO','CA',338,53611.0,259814.0,0.0010784079125787669
'CA','IT',338,259814.0,48194.0,0.001097374094179372
'MX','CA',337,55562.0,259814.0,0.0010685657754553296
'ZA','DE',327,80877.0,86225.0,0.001956888606958624
'HK','SE',325,78856.0,14655.0,0.0034755269433542576
'NL','DE',323,42375.0,86225.0,0.0025116640746500776
'US','HR',323,1617816.0,1582.0,0.00019945683519431294
'CH','AU',322,24498.0,119320.0,0.0022389408836167935
'CH','NL',321,24498.0,42375.0,0.004800143555695123
'IL','CA',320,9907.0,259814.0,0.001186411143366664
'CN','JP',319,18011.0,40643.0,0.0054386742592150575
'PK','AE',317,14986.0,4878.0,0.01595851792186871
'PT','NG',316,7427.0,70751.0,0.004042057867942388
'GB','IQ',315,714016.0,2899.0,0.0004393826325296583
'US','SV',315,1617816.0,673.0,0.00019462597521515437
'US','JM',315,1617816.0,622.0,0.0001946321082426389
'IT','CA',313,48194.0,259814.0,0.0010162073712371108
'VE','CU',312,13215.0,7869.0,0.014797951052931132
'VG','US',311,527.0,1617816.0,0.0001921718696222
'US','CM',309,1617816.0,850.0,0.00019089793694313713
'KR','VN',309,24753.0,2866.0,0.011187950324052284
'MY','MX',309,45204.0,55562.0,0.003066510529345216
'AU','NL',307,119320.0,42375.0,0.001898636321469433
'NL','BE',304,42375.0,16868.0,0.005131407930050807
'HK','KE',304,78856.0,30837.0,0.0027713710081773675
'RU','ZA',303,4298.0,80877.0,0.00355738186087467
'IT','AU',303,48194.0,119320.0,0.0018088040402593217
'CN','CA',300,18011.0,259814.0,0.0010798164312066949
'EG','MY',300,5224.0,45204.0,0.005949075910208614
'ES','CL',299,27634.0,6002.0,0.008889285289570698
'US','NP',299,1617816.0,2542.0,0.00018452712301849345
'IQ','GB',298,2899.0,714016.0,0.0004156699190280577
'CN','GB',295,18011.0,714016.0,0.00040299060007349457
'GB','BM',294,714016.0,1834.0,0.0004107005657609834
'GB','BN',293,714016.0,1288.0,0.0004096160513571852
'AU','MY',291,119320.0,45204.0,0.0017687389073934503
'GB','JE',291,714016.0,482.0,0.00040727895669407055
'JP','MY',290,40643.0,45204.0,0.0033781029040036346
'CA','SE',289,259814.0,14655.0,0.0010529422266266865
'CA','JP',289,259814.0,40643.0,0.0009618680876132026
'NG','UG',286,70751.0,2749.0,0.003891156462585034
'MY','CA',285,45204.0,259814.0,0.0009343710862965464
'US','CR',284,1617816.0,462.0,0.00017549518685911814
'GB','AR',283,714016.0,4849.0,0.0003936761422520223
'IN','PH',283,259796.0,18017.0,0.0010186708325384342
'BD','GB',282,2288.0,714016.0,0.0003936875963278161
'FR','ES',281,33733.0,27634.0,0.004579008261769355
'IL','VE',280,9907.0,13215.0,0.012109679093504022
'BD','US',280,2288.0,1617816.0,0.0001728284110155891
'IL','GB',277,9907.0,714016.0,0.00038263737994234193
'JP','ID',275,40643.0,36044.0,0.003586005450728285
'GB','EG',274,714016.0,5224.0,0.00038095767754852344
'CG','US',274,2139.0,1617816.0,0.0001691405008163807
'GB','ZW',269,714016.0,8357.0,0.0003723837961828584
'TH','TW',268,18117.0,6517.0,0.010879272550133962
'ES','IN',268,27634.0,259796.0,0.0009324009324009324
'MX','MY',267,55562.0,45204.0,0.002649703272929361
'BR','GB',267,18534.0,714016.0,0.00036448024025663775
'CA','CH',264,259814.0,24498.0,0.0009285573595205267
'US','UY',262,1617816.0,1073.0,0.0001618393849115041
'CN','ID',261,18011.0,36044.0,0.004828415502728702
'IL','IT',260,9907.0,48194.0,0.004474966007469751
'IN','NL',258,259796.0,42375.0,0.0008538211807221738
'FR','CO',258,33733.0,53611.0,0.00295383769921231
'IR','BR',257,875.0,18534.0,0.013241279818640837
'US','TZ',257,1617816.0,817.0,0.0001587759547717117
'GB','CN',254,714016.0,18011.0,0.0003469817370124326
'CL','GB',252,6002.0,714016.0,0.0003499912502187445
'ZA','BW',250,80877.0,363.0,0.0030773018217626785
'SG','ID',250,5384.0,36044.0,0.00603456599401371
'CN','CU',250,18011.0,7869.0,0.009659969088098918
'AE','US',250,4878.0,1617816.0,0.0001540647836252553
'US','MV',249,1617816.0,505.0,0.00015386317053291652
'AU','NG',249,119320.0,70751.0,0.001310036775731174
'DE','BE',248,86225.0,16868.0,0.0024055949482506087
'DE','ZA',244,86225.0,80877.0,0.0014601859941831936
'US','CZ',242,1617816.0,1659.0,0.00014943114280862625
'GB','KR',242,714016.0,24753.0,0.00032757194738815515
'NO','GB',242,11559.0,714016.0,0.0003335285807807601
'RU','GB',239,4298.0,714016.0,0.0003327235721425449
'VI','US',238,1237.0,1617816.0,0.0001469995114428002
'IN','CN',237,259796.0,18011.0,0.0008531102528014053
'ZA','IT',235,80877.0,48194.0,0.0018207033338240193
'FR','BR',235,33733.0,18534.0,0.00449614479499493
'IL','SE',234,9907.0,14655.0,0.009526911489292402
'TH','JP',234,18117.0,40643.0,0.003982300884955752
'US','CW',234,1617816.0,357.0,0.00014460752960282985
'BM','GB',233,1834.0,714016.0,0.00032548718306907873
'FI','US',233,1671.0,1617816.0,0.00014387272018855354
'TR','IN',233,22031.0,259796.0,0.0008267483243266259
'TH','CN',231,18117.0,18011.0,0.006393932683790965
'FJ','AU',231,2325.0,119320.0,0.0018989683094249661
'US','IR',229,1617816.0,875.0,0.0001414723378334716
'CO','EC',226,53611.0,1956.0,0.004067162164594094
'HK','SG',226,78856.0,5384.0,0.0026828110161443495
'TH','IN',226,18117.0,259796.0,0.0008132041322284312
'CO','AR',223,53611.0,4849.0,0.003814574067738625
'US','NA',222,1617816.0,629.0,0.00013716870205660373
'BS','US',222,1084.0,1617816.0,0.00013713015010192106
'TR','GR',222,22031.0,11427.0,0.006635184410305458
'FR','AU',221,33733.0,119320.0,0.001443944254604614
'TH','HK',220,18117.0,78856.0,0.0022686727233353614
'BE','FR',219,16868.0,33733.0,0.0043279777079504355
'IN','CO',219,259796.0,53611.0,0.0006987718844824781
'TR','GB',217,22031.0,714016.0,0.00029481812982051417
'AG','IN',215,1065.0,259796.0,0.0008241937276940593
'CU','IT',212,7869.0,48194.0,0.003781460143053351
'CA','KE',212,259814.0,30837.0,0.0007293971120003028
'ID','KR',211,36044.0,24753.0,0.0034705659818741056
'ES','IT',211,27634.0,48194.0,0.002782613282692409
'JP','HK',211,40643.0,78856.0,0.001765705152344371
'TH','CA',209,18117.0,259814.0,0.0007519852049609436
'CN','PK',209,18011.0,14986.0,0.006333909143255448
'LT','TR',209,315.0,22031.0,0.009352904322921329
'HK','BE',209,78856.0,16868.0,0.002183360494755756
'CA','CO',209,259814.0,53611.0,0.0006668261944643854
'PT','BR',208,7427.0,18534.0,0.00801201802704056
'TR','NG',207,22031.0,70751.0,0.0022310361923648984
'LB','AU',207,4512.0,119320.0,0.0016716196136701336
'VE','CL',204,13215.0,6002.0,0.010615600770151428
'IN','ZA',204,259796.0,80877.0,0.0005988146991396442
'US','MC',201,1617816.0,1245.0,0.00012414603279308192
'IT','FR',201,48194.0,33733.0,0.0024534036398256983
'JP','AU',201,40643.0,119320.0,0.0012565405750079705
'RS','US',200,2371.0,1617816.0,0.0001234425408918847
'ZA','MX',198,80877.0,55562.0,0.0014511979712545533
'NL','CA',198,42375.0,259814.0,0.0006552190847449775
'DK','GB',198,6051.0,714016.0,0.00027497441210331815
'US','QA',196,1617816.0,865.0,0.00012108624244060442
'IN','CH',196,259796.0,24498.0,0.000689427142324495
