i,j,count
'DE','BR',67
'NG','KW',67
'PK','DE',67
'RS','CA',66
'LB','NG',66
'PK','ZA',66
'GU','US',66
'NP','IN',65
'PA','AU',65
'MY','DE',65
'CA','EG',65
'CN','FR',65
'GB','PE',65
'SA','CA',65
'GR','CA',65
'ZW','CA',64
'ES','BE',64
'FR','CH',64
'ZW','TR',64
'LB','KE',64
'CA','CL',63
'IE','AU',63
'CO','PE',63
'GB','BJ',63
'FR','JP',63
'GR','ID',63
'PH','ID',63
'JP','VN',62
'TR','AU',62
'KE','DE',62
'US','SL',62
'DE','HR',62
'ID','BN',62
'NG','AE',62
'CN','TR',62
'PK','KW',62
'ZA','GH',62
'PT','NL',62
'AE','PK',61
'AR','CL',61
'PL','ZA',61
'NG','CM',61
'ZA','CO',61
'NL','NO',61
'CL','MX',60
'MC','FR',60
'LB','ZA',60
'DE','PK',60
'PA','ES',60
'IN','DJ',60
'BR','DE',60
'JP','SG',60
'DE','CZ',60
'GB','BD',60
'TC','US',60
'EG','ZA',60
'DK','NG',60
'CH','ZA',59
'AR','GB',59
'US','BW',59
'CM','US',59
'IN','ZW',59
'AT','FR',59
'MC','DE',59
'BE','SK',59
'NG','SA',58
'PS','GB',58
'IT','BR',58
'CA','TR',58
'AR','IN',58
'CN','AE',58
'NL','HK',58
'MR','FR',58
'KE','CH',58
'IL','MX',58
'CG','GH',57
'SE','PL',57
'KR','CH',57
'CL','DO',57
'MX','ZA',57
'DE','PT',57
'SA','LB',57
'KR','DE',57
'CA','CN',57
'IL','FR',57
'HK','NZ',57
'PE','CO',56
'GB','CY',56
'GR','ZA',56
'IN','NO',56
'AU','BR',56
'CN','NL',56
'US','AI',56
'PA','ID',56
'CH','TR',56
'ZA','CN',56
'PA','CH',56
'MX','EC',56
'LB','AE',56
'DJ','US',56
'SI','GB',56
'PE','VE',55
'IL','BR',55
'ZA',None,55
'ES','PA',55
'PL','NL',55
'IL','DK',55
'ES','NL',54
'ZA','NO',54
'IN','HR',54
'ZW','IN',54
'RW','CM',54
'TW','ES',54
'DE','JO',54
'GR','NL',54
'FR','KW',54
'DE','TT',53
'GB','MA',53
'IN','AZ',53
'PH','AE',52
'SE','AU',52
'BF','CO',52
'ES','PY',52
'TR','JP',52
'RS','AT',52
'BR','MX',52
'US','BJ',52
'CN','ES',52
'GB','JM',52
'HK','TR',52
'BH','IN',52
'CA','PL',52
'CA','TW',52
'TZ','GB',52
'DE','DK',52
'NO','DE',52
'AU','VE',52
'UG','KE',51
'IT','MY',51
'TH','IT',51
'IT','AR',51
'PK','TR',51
'EG','LB',51
'NO','SE',51
