i,j,count
'US','BW',59
'US','TF',9
'NG','ZA',373
'ES','TH',10
'EC','AU',15
'AU','PT',39
'CZ','DE',26
'MM','MM',103
'US','HT',137
'GB','AZ',10
'HK','AE',48
'CA','UY',21
'KE','NL',22
'SI','GB',56
'BE','AE',19
'MA','FR',128
'ML','ML',10
'DE','CZ',60
'PK','ES',30
'GB','PE',65
'SG','CA',25
'US','CW',234
'KE','IN',380
'AU','RO',21
'US','VG',126
'AG','GB',45
'KW','PK',76
'BR','IT',33
'ZA','GH',62
'HK','RO',28
'DE','NO',109
'CH','SE',134
'NO','AT',12
'VN','AR',1
'IN','TL',30
'FJ','IN',95
'AU','NL',307
'MC','DE',59
'DK','DE',46
'UY','CO',116
'NL','CO',86
'MX','VE',116
'CN','NG',520
'PL','IE',27
'ZA','FR',42
'NG','ES',98
'CL','MY',4
'FR','HK',9
'OM','EG',5
'RU','PL',18
'DE','NG',403
'KH','TH',2
'NG','GQ',7
'CL','GB',252
'LB','CA',45
'LB','NG',66
'CN','GB',295
'BB','BB',36
'VN','GB',27
'AU','BE',71
'ID','NL',797
'KR','FR',45
'PK','AE',317
'IN','EG',23
'DE','DK',52
'CN','BE',50
'CN','ZA',112
'TH','IT',51
'PR','ES',21
'SE','IQ',29
'QA','IN',186
'PT','DE',44
'CH','ZA',59
'US','MR',14
'ES','MA',8
'GB','PH',660
'PH','BE',5
'NL','NZ',9
'IL','NL',69
'LB','LB',143
'US','SO',31
'MR','IN',2
'IL','DE',343
'IQ','IN',144
'GB','GF',12
'ZA','IT',235
'SI','IN',33
'DK','PL',107
'PR','ID',99
'IE','NL',20
'MX','DK',7
'ZA','PR',32
'IT','AZ',4
'ID','NO',6
'US','DM',84
'DE','IQ',42
'HK','IT',160
'RU','AU',13
'ID','TW',48
'DK','NO',28
'HK','UY',13
'KE','NZ',7
'HR','DE',14
'SE','GB',374
'ID','JP',136
'IT','SG',9
'ZW','SA',22
'IT','HK',38
'AT','CA',39
'IT','VE',51
'US','MP',77
'US','HR',323
'US','CG',11
'LT','KE',2
'NG','RU',17
'MP','AU',1
'IQ','CL',1
'US','TZ',257
'PL','IN',78
'KP','VE',177
'TW','HK',102
'NG','UG',286
'DK','BE',164
'BE','NL',447
'KR','AU',170
'ZW','IN',54
'HK','SG',226
'NO','ES',7
'EG','DE',44
'PA','AU',65
'MX','AU',89
'KY','KY',3
'NL','BR',31
'US','SS',25
'CN','BJ',4
'MY','IT',131
'DK','IT',84
'ZA','TR',69
'AG','US',169
'US','BZ',29
'CO','AT',7
'CL','PH',2
'ID','CU',17
'LB','ZA',60
'PR','MX',50
'AT','NL',177
'GB','CL',99
'ES','RU',14
'KW','EG',8
'BR','AU',43
'CH','AT',76
'US','TT',159
'ZW','ID',97
'AU','PG',35
'PT','AO',1
'NG','AU',71
'CZ','CH',5
'US','AF',49
'IT','IE',42
'MC','BE',4
'TR','JP',52
'US','GD',103
'MX','MV',2
'AE','KW',2
'DJ','ES',22
'CA','KE',212
'AR','CL',61
'AT','ZA',3
'CG','GB',87
'GB','CR',26
'GB','CM',119
'GB','BM',294
'KW','QA',10
'CN','PR',26
'SV','MX',20
'CA','VE',79
'CM','FR',12
'PS','DE',35
'CA','AT',69
'VE','SE',17
'MX','PA',81
'GB',None,132
'FR','PL',22
'CU','PR',20
'MX','FR',93
'VE','CN',26
'SR','CU',16
'GR','NG',3
'BE','SK',59
'AR','IN',58
'IL','DK',55
'FR','BJ',23
'PL','TW',15
'RW','QA',3
'PR','AU',10
'CA','PL',52
'BE','PT',17
'CO','BR',105
'NL','EG',7
